Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,NY,2022,"10        ",Male,15,Right-Handed,170,idk,idk,2,"Rail (Train/Tram/Subway)",70,.308,46,"Martial Arts",50,60,60,90,30,80,idk,"Same length",idk,idk,"Same length",October,Fall,No,,Desserts,Water,"Mathematics and statistics",6,8,4,"Yes - other","Myspace, Facebook, other social networking sites, or blog","a lot","a lot",1,1,7,1,7,7,7,7,7,7,0,7,"A lot",Other,Other,Fly,Happy,Other,Environment
USA,NY,2019,"12        ",Female,18,Right-Handed,165,22,166,1,Car,7,0.385,40,Other,914,652,1000,652,310,572,22,"Same length",66,67,"Ring finger",October,Summer,Yes,No,Pizza/Pasta,Water,Science,7,8,5,"Yes - other","Myspace, Facebook, other social networking sites, or blog",10,10,,,,,,,,,,,,,Some,"Graduate degree",Country,"Freeze time",Happy,,
USA,NY,2018,"6         ",Male,11,Right-Handed,131,27,120,2,Walk,3,0.248,53,Soccer,500,100,200,20,0,1000,27,"Same length",5.5,6,"Ring finger",November,Spring,No,No,Desserts,Water,English,9,12,4,"Yes - other","Text messaging",200,180,1,0,2,6,2,10,5,7,5,1,0,1,"Very little","Some college",Pop,"Super strength",Happy,Actor,"Wildlife, animals"
USA,NY,2018,"12        ",Male,17,Left-Handed,178,25,182,1,"Rail (Train/Tram/Subway)",15,.311,42,Walking/Hiking,1000,775,914,599,722,1000,25,"Same length",98,110,"Ring finger",January,Spring,Yes,No,Vegetables,Water,"Mathematics and statistics",8,9,4,"Yes - broadband connection","Text messaging",500,500,20,7,10,25,5,10,5,30,45,0,0,7,Some,"Graduate degree",Jazz,Telepathy,Happy,"Community leader or elder","Education/Youth development"
USA,NY,2024,"12        ",Male,17,Right-Handed,174,25,187,2,"Rail (Train/Tram/Subway)",36,.748,44,Soccer,970,990,990,990,990,990,25,"Left foot",90,80,"Index finger",June,Summer,No,No,Pizza/Pasta,Water,"Social studies",7,9,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",25,45,10,5,3,8,4,1,3,3,3,6,1,2,"Very little",Other,"Rap/Hip hop",Fly,Happy,"Religious figure",Health
USA,NY,2021,"12        ",Female,17,Left-Handed,177,23,120,1,Car,30,.378,50,Tennis,900,800,800,950,900,900,24,"Left foot",67,55,"Index finger",July,Spring,No,No,Desserts,Water,English,6,10,3,"Yes - broadband connection","In person",84,95,12,20,15,5,7,0,1,7,10,0,0,2,"A lot","Graduate degree","Rock and roll",Invisibility,Happy,Friend,Health
USA,NY,2024,"12        ",Female,17,Right-Handed,170,24,172,1,Car,15,0.439,45,Basketball,497,478,406,412,1000,1000,24,"Same length",76,76,"Same length",March,Summer,No,No,Pizza/Pasta,Water,Art,10,11,5,"Yes - broadband connection","Text messaging",7,10,1,2,1,35,15,2,5,1,2,21,0,7,Some,"Undergraduate degree",Country,Fly,Happy,"Religious figure",Religious
USA,NY,2024,"11        ",Male,18,Right-Handed,173,28,180,2,"Rail (Train/Tram/Subway)",39,.423,40,Other,0,0,0,0,1000,1000,26,"Right foot",85,85,"Same length",February,Winter,Yes,No,Meat,"Sports drink",Music,7,10,5,"Yes - other","Text messaging",2,0,2,,.3,,12,21,0,.1,0,1,0,20,"A lot","Graduate degree",Pop,"Freeze time",Rich,Other,Other
USA,NY,2016,"12        ",Female,18,Right-Handed,153,23,153,2,"Rail (Train/Tram/Subway)",30,.612,35,Other,750,700,500,500,400,450,22,"Right foot",73,77,"Ring finger",February,Fall,Yes,No,Seafood,Coffee,History,5,8,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",75,75,16,1,20,2,1,2,40,60,60,3,0,2,"A lot","Graduate degree",Pop,"Freeze time",Happy,Relative,"Education/Youth development"
USA,NY,2023,"9         ",Male,13,Right-Handed,171,26,220,2,Bus,20,0.333,35,"Football (American)",5,5,5,5,1000,1000,999,"Same length",99999,99999,"Same length",December,Winter,Yes,Yes,Meat,"Sports drink",Other,23,25,83,"No internet connection",E-mail,0,0,9999,999,999,999,999,9999,9999,99999,9999,9999,99999,99999,"A lot","Less than high school",Gospel,"Freeze time",Healthy,"Religious figure",Health
USA,NY,2020,"12        ",Male,18,Right-Handed,178,27.5,,3,Bus,20,10,44,Basketball,,,,,,,,,,,,,,,,,,,,,,"Yes - dial-up connection","Text messaging",50,40,,,,,,,,,,,,,Some,"Some college",Country,,Rich,"Business person","International aid"
USA,NY,2023,"12        ",Female,18,Right-Handed,"5,4",,,2,Bus,45,45,37,"Table Tennis",120,100,50,300,180,200,,"Same length",,,"Same length",June,Summer,No,No,Fruit,Juice,Art,8,12,3,"Yes - broadband connection","Text messaging",10,45,5,120,800,100,98,0,20,100,200,2,3,0,"A lot","Graduate degree",Pop,Invisibility,Healthy,"Doctor or nurse","Education/Youth development"
USA,NY,2022,"9         ",Female,14,Right-Handed,164,23,153,1,Bus,15,0.666,60,Running/Jogging,600,700,900,800,200,500,23,"Same length",75,55,"Ring finger",October,Winter,Yes,No,Soups,Water,Art,8,7,4,"Yes - other","Internet chat or instant messaging",35,40,24,,,,,,,,,,,,,,,,,,
USA,NY,2016,"6         ",Male,11,Right-Handed,135,20,138,1,Bus,30,.232,55,"Martial Arts",950,809,1000,819,450,900,,"Same length",,,"Same length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2016,"12        ",Male,17,Right-Handed,185,27,190,2,"Rail (Train/Tram/Subway)",50,.644,61,Basketball,500,500,500,500,500,900,27,,85,75,"Same length",August,Summer,Yes,No,Meat,Water,"Mathematics and statistics",7,9,4,"Yes - other","Myspace, Facebook, other social networking sites, or blog",15,10,2,2,3,2,1,5,8,3,6,0,9,5,Some,"Graduate degree",Pop,Invisibility,Rich,"Business person","Education/Youth development"
